,Rank,Name,Keywords,Corr,pvalue
65,66,MF_CompareAR_1_10_all_where01max,model,0.323,1.1567221620232689e-25
66,67,SP_Summaries_pgram_hamm_logiqr,FourierSpectrum,0.323,8.982373414460651e-26
67,68,FC_LocalSimple_median3_swm,forecasting,0.322,1.4070336334624981e-25
68,69,MF_steps_ahead_ss_best_6_rmserr_1,"model,prediction",0.321,1.8911365245704363e-25
69,70,MF_arfit_1_8_sbc_stdA,"modelfit,arfit",0.321,2.4671383522167446e-25
70,71,CO_AddNoise_ac_even_10_pcrossmean,"correlation,AMI,entropy",0.321,2.2182637292230606e-25
71,72,CP_ML_StepDetect_l1pwc_005_meanstepint,stepdetection,0.318,6.195166934183212e-25
72,73,PP_Compare_sin1_statav8,"preprocessing,raw,stationarity",0.318,5.905477084026582e-25
73,74,MF_compare_GARCH_ar_1_3_1_3_mean_meanlbqps,model,0.317,1.0533762940462034e-24
74,75,DN_OutlierInclude_n_001_nflb,"distribution,outliers",0.317,8.572312674326794e-25
75,76,SB_TransitionpAlphabet_40_1_maxeig_fexpb,"symbolic,transitionmat",0.317,8.994144106284971e-25
76,77,ST_FitPolynomial_3,trend,0.317,8.749994232003694e-25
77,78,IN_AutoMutualInfoStats_diff_20_kraskov1_4_amiac1,"information,correlation,AMI",0.314,2.6517093361016987e-24
78,79,MF_compare_GARCH_ar_1_3_1_3_mean_meanarchps,model,0.313,3.615881429892324e-24
79,80,MF_FitSubsegments_arma_2_2_uniform_25_01_q_1_min,"model,prediction",0.313,3.366692303550025e-24
80,81,MF_arfit_1_8_sbc_A2,"modelfit,arfit",0.313,3.5336916301939246e-24
81,82,CO_AddNoise_ac_even_10_pdec,"correlation,AMI,entropy",0.313,3.253286600914834e-24
82,83,ST_FitPolynomial_2,trend,0.313,3.3841959525553e-24
83,84,PP_Compare_sin1_swms5_1,"preprocessing,raw,stationarity",0.312,5.4915087479380216e-24
84,85,SC_FluctAnal_2_dfa_50_0_logi_linfitint,scaling,0.311,7.930959208227727e-24
85,86,DN_SimpleFit_exp1_r2_hsqrt,"distribution,gof,exp1",0.311,6.982600464734638e-24
86,87,ST_FitPolynomial_4,trend,0.311,7.783442895239392e-24
87,88,MF_compare_GARCH_ar_1_3_1_3_min_meanlbqps,model,0.310,1.2001078468616096e-23
88,89,MF_ExpSmoothing_05_best_minfpe,model,0.310,9.595523586382226e-24
89,90,MF_ExpSmoothing_05_best_ac1n,model,0.310,9.610644429298002e-24
90,91,MF_CompareAR_1_10_05_where01max,model,0.310,1.0218380730322982e-23
91,92,PP_Compare_sin1_statav10,"preprocessing,raw,stationarity",0.310,1.0714297477593768e-23
92,93,CO_Embed2_Basic_1_parabup05_n1,correlation,0.310,9.993760706926567e-24
93,94,SY_SlidingWindow_m_s2_2,stationarity,0.310,8.91253739143992e-24
94,95,NL_TSTL_dimensions_50_ac_fnnmar_bc_minm1,"nonlinear,tstool,scaling,dimension",0.309,5.1440348729226316e-23
95,96,DN_SimpleFit_exp1_r2_ks,"distribution,gof,exp1",0.309,1.232083432530946e-23
96,97,MF_StateSpace_n4sid_1_05_1_acsnd0,model,0.308,1.720525790958209e-23
97,98,MF_arfit_1_8_sbc_sumsqA,"modelfit,arfit",0.308,1.9581789352074656e-23
98,99,MF_arfit_1_8_sbc_rmsA,"modelfit,arfit",0.308,1.961267744885262e-23
99,100,NL_TISEAN_c1_1_1_7_002_05_bestgoodness,"nonlinear,tisean,dimension,entropy",0.308,2.904238865592785e-23
100,101,SC_FluctAnal_2_std_50_logi_linfitint,scaling,0.308,2.30438027845078e-23
101,102,SC_FluctAnal_2_range_50_logi_linfitint,scaling,0.308,2.0439210194458878e-23
102,103,PH_Walker_prop_11_w_min,trend,0.308,2.0965536902293905e-23
103,104,MF_compare_GARCH_ar_1_3_1_3_max_meanlbqps,model,0.307,2.6750831176015746e-23
104,105,MF_compare_GARCH_ar_1_3_1_3_min_meanarchps,model,0.307,3.5192096194688334e-23
105,106,SP_Summaries_pgram_hamm_logstd,FourierSpectrum,0.307,2.8273346614393123e-23
106,107,SB_TransitionpAlphabet_40_1_maxeig_fexpa,"symbolic,transitionmat",0.307,2.6935498634185473e-23
107,108,EN_MS_LZcomplexity_9_diff,"entropy,mex",0.307,2.4576650290176543e-23
108,109,StatAv4,"stationarity,StatAv",0.307,3.022058113254781e-23
109,110,DN_RemovePoints_min_01_saturate_ac3diff,"correlation,outliers",0.306,4.0395829173241746e-23
110,111,SB_TransitionpAlphabet_40_1_maxeig_fexpr2,"symbolic,transitionmat",0.306,3.747355770917511e-23
111,112,EN_MS_LZcomplexity_10_diff,"entropy,mex",0.306,4.552836066922897e-23
112,113,EN_MS_LZcomplexity_7_diff,"entropy,mex",0.306,4.0292699706689106e-23
113,114,MF_steps_ahead_arma_3_1_6_rmserr_1,"model,prediction",0.305,5.899898533962821e-23
114,115,NL_TSTL_dimensions_50_ac_fnnmar_bc_lfitm1,"nonlinear,tstool,scaling,dimension",0.305,1.9205135642333628e-22
115,116,SC_FluctAnal_2_dfa_50_3_logi_stdssr,scaling,0.305,5.379935977555937e-23
116,117,MF_compare_GARCH_ar_1_3_1_3_max_meanarchps,model,0.304,8.294234268326821e-23
117,118,NL_TSTL_dimensions_50_ac_fnnmar_bc_meanm1,"nonlinear,tstool,scaling,dimension",0.304,3.6892848467188058e-22
118,119,SP_Summaries_pgram_hamm_linfitloglog_lf_sigma,FourierSpectrum,0.304,7.703595461424684e-23
119,120,SC_FluctAnal_2_dfa_50_3_logi_ratsplitminerr,scaling,0.303,1.208030046612363e-22
120,121,SB_TransitionpAlphabet_40_1_maxeig_fexprmse,"symbolic,transitionmat",0.303,1.2217686394322217e-22
121,122,EN_MS_LZcomplexity_8_diff,"entropy,mex",0.303,1.3028079219709438e-22
122,123,EN_MS_LZcomplexity_6_diff,"entropy,mex",0.303,9.64925133088927e-23
123,124,SY_SlidingWindow_m_ent2_10,stationarity,0.303,9.754306014684556e-23
124,125,StatAv6,"stationarity,StatAv",0.303,1.0189060960605722e-22
125,126,MF_CompareAR_1_10_all_maxonmed,model,0.302,1.410077483884019e-22
126,127,MF_steps_ahead_ar_best_6_rmserr_1,"model,prediction,arfit",0.302,1.547892746911231e-22
127,128,PP_Compare_sin1_statav6,"preprocessing,raw,stationarity",0.301,2.330951251922124e-22
128,129,SC_FluctAnal_2_iqr_50_logi_linfitint,scaling,0.301,2.565905507771429e-22
129,130,ST_FitPolynomial_1,trend,0.301,2.2161593558778944e-22
130,131,SY_SlidingWindow_m_s2_10,stationarity,0.301,1.8725221499243792e-22
131,132,SY_TISEAN_nstat_z_4_1_3_max,"nonlinear,tisean,model,stationarity",0.300,3.385715690958569e-22
132,133,CO_AddNoise_ac_std1_10_pcrossmean,"correlation,AMI,entropy",0.300,2.6851917159493774e-22
133,134,EN_MS_LZcomplexity_5_diff,"entropy,mex",0.300,3.3200952454043814e-22
134,135,WL_cwt_sym2_32_max_ssc,"wavelet,cwt",0.299,3.9837159073358207e-22
135,136,WL_cwt_db3_32_max_ssc,"wavelet,cwt",0.299,4.498152341669621e-22
136,137,MF_armax_1_1_05_1_acsnd0,model,0.298,5.597283135834256e-22
137,138,MF_StateSpace_n4sid_1_05_1_sbc1,model,0.298,6.11467929063363e-22
138,139,MF_FitSubsegments_ar_2_uniform_25_01_a_2_max,"model,prediction",0.298,5.10072553748627e-22
139,140,PP_Compare_sin1_swms10_1,"preprocessing,raw,stationarity",0.298,6.214537300104466e-22
140,141,SY_SlidingWindow_m_ent5_2,stationarity,0.298,5.813300956676851e-22
141,142,MF_compare_GARCH_ar_1_3_1_3_mean_maxlbqps,model,0.297,8.0749392356522955e-22
142,143,MF_compare_GARCH_ar_1_3_1_3_min_maxlbqps,model,0.297,9.157482256772484e-22
143,144,MF_CompareAR_1_10_05_maxonmed,model,0.297,7.545897501732625e-22
144,145,MF_steps_ahead_ar_2_6_ac1_1,"model,prediction",0.297,7.396566742840071e-22
145,146,MF_arfit_1_8_sbc_maxImS,"modelfit,arfit",0.297,7.81747861766583e-22
146,147,NL_TSTL_dimensions_50_ac_fnnmar_scr_bc_m1_scaling_exp,"nonlinear,tstool,scaling,dimension",0.297,3.1177716059557044e-21
147,148,SY_TISEAN_nstat_z_4_1_3_rangeeig,"nonlinear,tisean,model,stationarity",0.297,8.721797196488295e-22
148,149,DN_RemovePoints_max_01_saturate_kurtosisrat,"correlation,outliers,distribution",0.297,8.684663281496766e-22
149,150,EN_MS_LZcomplexity_4_diff,"entropy,mex",0.297,9.365088765967463e-22
150,151,NL_TSTL_dimensions_50_ac_fnnmar_scr_bc_m1_minbad,"nonlinear,tstool,scaling,dimension",0.296,4.384089782436516e-21
151,152,MF_AR_arcov_1_res_AC1,"model,gof",0.296,1.2197401147985624e-21
152,153,EN_MS_LZcomplexity_3_diff,"entropy,mex",0.296,1.0032900784380865e-21
153,154,SY_SlidingWindow_m_ent5_10,stationarity,0.296,9.836702366864225e-22
154,155,StatAv7,"stationarity,StatAv",0.296,1.0970649303853472e-21
155,156,SY_TISEAN_nstat_z_4_1_3_stdeig,"nonlinear,tisean,model,stationarity",0.295,1.6091192504148344e-21
156,157,SY_DriftingMeann5_max,stationarity,0.295,1.3704373501163316e-21
157,158,SY_SpreadRandomLocal_ac2_100_meanskew,stationarity,0.295,1.7915689481595793e-21
158,159,SY_SlidingWindow_m_s5_2,stationarity,0.295,1.466711040866844e-21
159,160,StatAv5,"stationarity,StatAv",0.295,1.830818029817774e-21
160,161,MF_armax_1_1_05_1_sbc1,model,0.294,1.9771571169052033e-21
161,162,SY_SlidingWindow_m_ent5_1,stationarity,0.294,2.1734293885074116e-21
162,163,SY_SlidingWindow_m_s5_10,stationarity,0.294,1.8942880524875477e-21
163,164,StatAv3,"stationarity,StatAv",0.294,2.2409052996341533e-21
164,165,MF_compare_GARCH_ar_1_3_1_3_mean_maxarchps,model,0.293,2.818681026041186e-21
165,166,MF_compare_GARCH_ar_1_3_1_3_min_maxarchps,model,0.293,2.733365200516637e-21
166,167,MF_FitSubsegments_arma_2_2_uniform_25_01_p_2_min,"model,prediction",0.293,2.8062095001490863e-21
167,168,MF_FitSubsegments_arma_2_2_uniform_25_01_p_2_std,"model,prediction",0.293,2.635345135842569e-21
168,169,MF_FitSubsegments_arsbc_rand_25_01_orders_min,"model,prediction,arfit",0.293,3.4358649164836226e-21
169,170,MF_steps_ahead_ar_2_6_rmserr_1,"model,prediction",0.293,3.056463674077572e-21
170,171,PP_Compare_spline64_statav4,"preprocessing,raw,stationarity",0.293,3.1779618921203975e-21
171,172,ST_LocalExtrema_l50_meanabsmin,"distribution,stationarity",0.293,2.693486095083651e-21
172,173,SY_DriftingMeann5_meanabsmaxmin,stationarity,0.293,2.633905566594839e-21
173,174,SB_TransitionMatrix_5ac_symdiff,"symbolic,transitionmat",0.293,3.4515326210276005e-21
174,175,IN_AutoMutualInfoStats_diff_20_gaussian_ami2,"information,correlation,AMI",0.293,3.5268695105516034e-21
175,176,propUnique,"distribution,raw",0.293,2.7703285411823234e-21
176,177,MF_GARCHfit_ar_P1_Q2_stde_acsnd0,model,0.292,4.049855388828284e-21
177,178,MF_ExpSmoothing_05_best_sbc1,model,0.292,4.133589453171936e-21
178,179,MF_StateSpace_n4sid_1_05_1_minfpe,model,0.292,3.9329381193552386e-21
179,180,MF_FitSubsegments_arsbc_uniform_25_01_orders_min,"model,prediction,arfit",0.292,3.820938777982298e-21
180,181,DN_OutlierInclude_n_001_nfexpa,"distribution,outliers",0.292,4.1636215893372245e-21
181,182,SY_SlidingWindow_m_ent2_1,stationarity,0.292,4.7053954263156874e-21
182,183,NL_MS_nlpe_3_ac_ac1,"nonlinear,prediction,model",0.291,8.803080748202973e-21
183,184,NL_TSTL_LargestLyap_n1_01_001_3_mi_fnnmar_to07max,"nonlinear,tstool",0.291,8.23447167002848e-21
184,185,NL_TSTL_LargestLyap_n1_01_001_3_mi_fnnmar_to08max,"nonlinear,tstool",0.291,9.753006922264935e-21
185,186,SY_TISEAN_nstat_z_5_1_3_max,"nonlinear,tisean,model,stationarity",0.291,6.577862439102135e-21
186,187,SC_FluctAnal_2_endptdiff_50_logi_alpha,scaling,0.291,5.919446891934403e-21
187,188,ST_LocalExtrema_l50_zcext,"distribution,stationarity",0.291,6.558216604439659e-21
188,189,DN_RemovePoints_min_05_saturate_sumabsacfdiff,"correlation,outliers",0.291,6.058217691175102e-21
189,190,SY_LocalGlobal_absmean_p5,"stationarity,distribution",0.291,5.002516983148842e-21
190,191,StatAv8,"stationarity,StatAv",0.291,5.435062776968417e-21
191,192,MF_GARCHfit_ar_P1_Q1_stde_acsnd0,model,0.290,9.234569292027237e-21
192,193,MF_armax_1_1_05_1_ac3n,model,0.290,8.357751884116124e-21
193,194,MF_CompareAR_1_10_05_firstonmin,model,0.290,8.65827539819383e-21
194,195,MF_FitSubsegments_ar_2_uniform_25_01_a_2_std,"model,prediction",0.290,7.495552092097597e-21
195,196,NL_MS_nlpe_fnn_mi_acsnd0,"nonlinear,prediction,model,slow",0.290,1.2585716498374288e-20
196,197,EN_MS_LZcomplexity_2_diff,"entropy,mex",0.290,7.20532809185325e-21
197,198,SY_Trend_stdRatio,stationarity,0.290,7.242385750549664e-21
198,199,StatAv2,"stationarity,StatAv",0.290,7.600498817029879e-21
199,200,MF_StateSpace_n4sid_1_05_1_ac1n,model,0.289,9.630698672924315e-21
200,201,MF_StateSpaceCompOrder_8_meandiffaic,model,0.289,1.0788277746311224e-20
201,202,SY_TISEAN_nstat_z_4_1_3_maxeig,"nonlinear,tisean,model,stationarity",0.289,1.2688793003531436e-20
202,203,CO_AddNoise_ac_quantiles_10_fitexpb,"correlation,AMI,entropy",0.289,1.0011872897970045e-20
203,204,SY_SlidingWindow_m_ent2_2,stationarity,0.289,1.1255825666473382e-20
204,205,MF_StateSpace_n4sid_1_05_1_ac3n,model,0.288,1.497313196498286e-20
205,206,SY_DriftingMeann5_min,stationarity,0.288,1.6587195601705848e-20
206,207,quantile_5,distribution,0.288,1.2869287416786038e-20
207,208,SY_KPSStest_0_10_minstat,"stationarity,hypothesistest",0.287,1.785416510321395e-20
208,209,MF_ExpSmoothing_05_best_ac3n,model,0.287,1.9701975237705585e-20
209,210,MF_armax_1_1_05_1_minfpe,model,0.287,2.07729538149713e-20
210,211,MF_CompareAR_1_10_all_firstonmin,model,0.287,1.9148694524260532e-20
211,212,NL_TSTL_LargestLyap_n1_01_001_3_mi_fnnmar_to09max,"nonlinear,tstool",0.287,2.6227479831825542e-20
212,213,PH_Walker_biasprop_05_01_w_min,trend,0.287,2.2943009645113296e-20
213,214,StatAv9,"stationarity,StatAv",0.287,1.8737242806229085e-20
214,215,CP_ML_StepDetect_l1pwc_02_meanstepintgt3,stepdetection,0.286,5.700796468372525e-20
215,216,NL_MS_nlpe_3_ac_dwts,"nonlinear,prediction,model",0.286,5.387536036467675e-20
216,217,WL_cwt_sym2_32_stat_5_s_s,"wavelet,cwt",0.286,2.684075869886463e-20
217,218,PP_Compare_sin1_swms2_2,"preprocessing,raw,stationarity",0.286,2.7044628498805006e-20
218,219,SY_TISEAN_nstat_z_5_1_3_rangeeig,"nonlinear,tisean,model,stationarity",0.285,4.9023724015927405e-20
219,220,SY_TISEAN_nstat_z_4_1_3_mean,"nonlinear,tisean,model,stationarity",0.285,3.4197332957847036e-20
220,221,SP_Summaries_fft_linfitloglog_lf_sigma,FourierSpectrum,0.285,3.8830638663023313e-20
221,222,SP_Summaries_welch_rect_linfitloglog_lf_sigma,FourierSpectrum,0.285,3.8830638663023313e-20
222,223,CO_AddNoise_ac_quantiles_10_fitexpr2,"correlation,AMI,entropy",0.285,3.876133728460916e-20
223,224,SY_TISEAN_nstat_z_5_1_3_stdeig,"nonlinear,tisean,model,stationarity",0.284,5.51537094457832e-20
224,225,DN_SimpleFit_exp1_AC1_hsqrt,"distribution,gof,exp1",0.284,5.25806335552388e-20
225,226,MF_StateSpace_n4sid_1_05_1_p4_5,model,0.283,7.01016115714459e-20
226,227,NL_MS_nlpe_fnn_mi_ftbth,"nonlinear,prediction,model,slow",0.283,8.013879929177038e-20
227,228,WL_cwt_db3_32_stat_5_s_s,"wavelet,cwt",0.283,7.000628081929667e-20
228,229,PP_Compare_diff2_swms2_2,"preprocessing,raw,stationarity",0.283,7.264372971892164e-20
229,230,SY_DriftingMeann10_max,stationarity,0.283,6.439023491976271e-20
230,231,PH_Walker_prop_05_w_min,trend,0.282,1.1372085837413152e-19
231,232,DN_RemovePoints_absfar_01_saturate_mean,"correlation,outliers",0.282,1.114580059440227e-19
232,233,IN_AutoMutualInfoStats_diff_20_gaussian_mami,"information,correlation,AMI",0.282,1.1318772571764072e-19
233,234,SY_SlidingWindow_m_ent10_1,stationarity,0.281,1.4153885550424236e-19
234,235,NL_MS_nlpe_3_ac_ac1n,"nonlinear,prediction,model",0.280,3.2543474020261155e-19
235,236,SY_TISEAN_nstat_z_5_1_3_maxeig,"nonlinear,tisean,model,stationarity",0.280,2.234257658343717e-19
236,237,WL_cwt_sym2_32_stat_5_s_m,"wavelet,cwt",0.279,2.7526700961065304e-19
237,238,WL_cwt_db3_32_stat_5_s_m,"wavelet,cwt",0.279,2.3804047386084543e-19
238,239,SC_FluctAnal_2_dfa_50_3_logi_ssr,scaling,0.279,2.733394450251099e-19
239,240,SC_FluctAnal_2_range_50_logi_r2_alpha,scaling,0.279,1.2943027851836017e-18
240,241,SY_DriftingMeann10_meanabsmaxmin,stationarity,0.279,2.473008923515391e-19
241,242,CO_AddNoise_ac_std1_10_fitexpb,"correlation,AMI,entropy",0.279,2.8411883275291276e-19
242,243,IN_AutoMutualInfoStats_diff_20_gaussian_stdami,"information,correlation,AMI",0.279,2.7673003616891783e-19
243,244,MF_GARCHfit_ar_P1_Q1_maxlbqpval_stde2,model,0.278,2.9762814839797354e-19
244,245,PP_Compare_spline64_swms2_2,"preprocessing,raw,stationarity",0.278,2.974534227505326e-19
245,246,SY_TISEAN_nstat_z_5_1_3_mean,"nonlinear,tisean,model,stationarity",0.278,3.3440702018606813e-19
246,247,SC_FluctAnal_2_range_50_logi_alpha,scaling,0.278,3.666794547207267e-19
247,248,SY_SlidingWindow_m_s10_10,stationarity,0.278,3.607995744811073e-19
248,249,StatAv10,"stationarity,StatAv",0.278,3.563561375909555e-19
249,250,SY_KPSStest_2_stat,"stationarity,hypothesistest",0.277,4.56246928747644e-19
250,251,MF_CompareTestSets_y_ar_4_rand_25_01_1_meandiffs_median,"model,prediction,stationarity",0.277,4.1874058248613507e-19
251,252,MF_CompareTestSets_y_ar_4_rand_25_01_1_meandiffs_mean,"model,prediction,stationarity",0.277,4.0055376678406135e-19
252,253,NL_TSTL_PoincareSection_max_1_tauacy,"nonlinear,tstool",0.277,5.784889232628269e-19
253,254,NL_TSTL_PoincareSection_max_1_ac1y,"nonlinear,tstool",0.277,5.497789272449729e-19
254,255,MF_GARCHfit_ar_P1_Q2_maxlbqpval_stde2,model,0.276,6.820278488957806e-19
255,256,MF_GARCHfit_ar_P1_Q1_maxenglepval_stde,model,0.276,5.89025862542016e-19
256,257,MF_CompareTestSets_y_ar_best_uniform_25_01_1_meandiffs_median,"model,prediction,arfit,stationarity",0.276,6.140644274721115e-19
257,258,NL_TSTL_LargestLyap_n1_01_001_3_mi_fnnmar_to05max,"nonlinear,tstool",0.276,9.852601026006496e-19
258,259,SY_SlidingWindow_m_s10_2,stationarity,0.276,5.695629889263984e-19
259,260,MF_CompareTestSets_y_ar_best_uniform_25_01_1_meandiffs_mean,"model,prediction,arfit,stationarity",0.275,8.852047845833629e-19
260,261,NL_MS_nlpe_2_mi_acsnd0,"nonlinear,prediction,model",0.275,1.198588459913747e-18
261,262,NL_TSTL_dimensions_50_ac_fnnmar_bc_lfitmeansqdev1,"nonlinear,tstool,scaling,dimension",0.275,2.8407109615535355e-18
262,263,NL_TISEAN_c1_1_1_7_002_05_mind,"nonlinear,tisean,dimension,entropy",0.274,1.6394229437658218e-18
263,264,SC_FluctAnal_2_rsrange_50_logi_r2_linfitint,scaling,0.274,3.1238819800727086e-18
264,265,SC_FluctAnal_2_iqr_50_logi_alpha,scaling,0.274,1.015143625470737e-18
265,266,CO_Embed2_Basic_1_ring1_05,correlation,0.274,1.2280356585443957e-18
266,267,CO_AddNoise_ac_quantiles_10_firstUnder25,"correlation,AMI,entropy",0.274,9.794429506350492e-19
267,268,MF_armax_1_1_05_1_p4_5,model,0.273,1.602675015497726e-18
268,269,NL_MS_nlpe_3_ac_acsnd0,"nonlinear,prediction,model",0.273,2.564785838825619e-18
269,270,PP_Compare_spline44_statav4,"preprocessing,raw,stationarity",0.273,1.6972160935675916e-18
270,271,SY_SlidingWindow_m_ent10_10,stationarity,0.273,1.3052146443242327e-18
271,272,MF_GARCHfit_ar_P1_Q2_maxenglepval_stde,model,0.272,2.1296912124137773e-18
272,273,SP_Summaries_pgram_hamm_fpoly2_rmse,FourierSpectrum,0.272,1.961723595705151e-18
273,274,SY_SlidingWindow_m_ent10_2,stationarity,0.272,2.0429249635581994e-18
274,275,MF_armax_1_1_05_1_ac1n,model,0.271,2.7098104931432602e-18
275,276,MF_FitSubsegments_arsbc_uniform_25_01_orders_mode,"model,prediction,arfit",0.271,3.0004396607826023e-18
276,277,SC_FluctAnal_mag_2_dfa_50_2_logi_stdssr,scaling,0.271,2.516748677799939e-18
277,278,SC_FluctAnal_2_dfa_50_0_logi_alpha,scaling,0.271,2.8661736791673873e-18
278,279,SC_FluctAnal_2_rsrangefit_50_1_logi_r2_linfitint,scaling,0.271,9.46776441200207e-18
279,280,SB_MotifThree_diffquant_caab,"symbolic,motifs",0.271,2.8133731106344653e-18
280,281,CO_Embed2_Basic_tau_parabup05_n1,correlation,0.271,3.0065198021809804e-18
